timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777284038553,10,Create Roadmap,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-1,text,false,,2293,0,2,2,http://localhost:8080/api/roadmaps,0,0,10
1777284038621,0,Create Roadmap,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-2,text,false,,2293,0,3,3,http://localhost:8080/api/roadmaps,0,0,0
1777284038677,0,Create Roadmap Item,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-1,text,false,,2293,0,3,3,http://localhost:8080/api/roadmap-items,0,0,0
1777284038722,0,Create Roadmap,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-3,text,false,,2293,0,4,4,http://localhost:8080/api/roadmaps,0,0,0
1777284038727,0,Create Roadmap Item,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-2,text,false,,2293,0,4,4,http://localhost:8080/api/roadmap-items,0,0,0
1777284038781,1,Create Tag,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-1,text,false,,2293,0,4,4,http://localhost:8080/api/tags,0,0,1
1777284038818,0,Create Roadmap,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-4,text,false,,2293,0,5,5,http://localhost:8080/api/roadmaps,0,0,0
1777284038824,1,Create Roadmap Item,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-3,text,false,,2293,0,5,5,http://localhost:8080/api/roadmap-items,0,0,1
1777284038830,0,Create Tag,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-2,text,false,,2293,0,5,5,http://localhost:8080/api/tags,0,0,0
1777284038888,0,Create Comment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-1,text,false,,2293,0,5,5,http://localhost:8080/api/comments,0,0,0
1777284038912,0,Create Roadmap,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-5,text,false,,2293,0,6,6,http://localhost:8080/api/roadmaps,0,0,0
1777284038921,1,Create Roadmap Item,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-4,text,false,,2293,0,6,6,http://localhost:8080/api/roadmap-items,0,0,0
1777284038926,0,Create Tag,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-3,text,false,,2293,0,6,6,http://localhost:8080/api/tags,0,0,0
1777284038931,0,Create Comment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-2,text,false,,2293,0,6,6,http://localhost:8080/api/comments,0,0,0
1777284038993,1,Get Roadmap By Id,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-1,text,false,,2293,0,6,6,http://localhost:8080/api/roadmaps/1,0,0,1
1777284039015,0,Create Roadmap Item,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-5,text,false,,2293,0,7,7,http://localhost:8080/api/roadmap-items,0,0,0
1777284039015,1,Create Roadmap,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-6,text,false,,2293,0,7,7,http://localhost:8080/api/roadmaps,0,0,1
1777284039027,0,Create Comment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-3,text,false,,2293,0,7,7,http://localhost:8080/api/comments,0,0,0
1777284039027,0,Create Tag,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-4,text,false,,2293,0,7,7,http://localhost:8080/api/tags,0,0,0
